mesh,grid_len,algo,max_iters,short_arcs,hausdorff,chamfer,f1
denker,20,ours,0,False,0.051858,0.00351126,0.9788
denker,20,ours,0,True,0.040823,0.00310715,0.985
denker,20,ours,1,True,0.038518,0.00240826,0.9867
denker,20,ours,2,True,0.038396,0.00230832,0.9841
denker,20,ours,3,True,0.037947,0.00228472,0.9838
denker,20,ours,4,True,0.038186,0.00226521,0.9848
denker,20,ours,5,True,0.037459,0.00226145,0.9842
denker,20,ours,6,True,0.038064,0.00227615,0.9842
denker,20,ours,7,True,0.037473,0.00226702,0.9845
denker,20,ours,8,True,0.037946,0.00226523,0.9841
denker,20,ours,9,True,0.037409,0.00226171,0.9842
denker,20,ours,10,True,0.037695,0.00226956,0.9839
denker,20,ours,11,True,0.037667,0.00227022,0.9844
denker,20,ours,12,True,0.03763,0.00226694,0.984
denker,20,ours,13,True,0.037914,0.00225316,0.9848
denker,20,ours,14,True,0.037446,0.00227409,0.9839
denker,20,ours,15,True,0.037813,0.00225175,0.9849
denker,20,rfta,,,0.062935,0.00351072,0.9554
denker,20,mes,,,0.057306,0.00335485,0.9727
denker,20,mc,,,0.065587,0.0050441,0.9306
armadillo,50,ours,0,False,0.013975,0.00096525,1.0
armadillo,50,ours,0,True,0.013952,0.00091842,1.0
armadillo,50,ours,1,True,0.011248,0.00068553,1.0
armadillo,50,ours,2,True,0.009781,0.00060071,1.0
armadillo,50,ours,3,True,0.009793,0.00057709,1.0
armadillo,50,ours,4,True,0.009787,0.00056966,1.0
armadillo,50,ours,5,True,0.009702,0.00056431,1.0
armadillo,50,ours,6,True,0.009689,0.00056142,1.0
armadillo,50,ours,7,True,0.009824,0.00055954,1.0
armadillo,50,ours,8,True,0.009751,0.00054717,1.0
armadillo,50,ours,9,True,0.009735,0.00054274,1.0
armadillo,50,ours,10,True,0.009607,0.00054248,1.0
armadillo,50,ours,11,True,0.009644,0.00054092,1.0
armadillo,50,ours,12,True,0.009647,0.0005399,1.0
armadillo,50,ours,13,True,0.009717,0.00053922,1.0
armadillo,50,ours,14,True,0.009696,0.00053786,1.0
armadillo,50,ours,15,True,0.009626,0.00053577,1.0
horse,50,ours,0,False,0.017462,0.00040807,0.9999
horse,50,ours,0,True,0.0167,0.00039064,1.0
horse,50,ours,1,True,0.016474,0.00021113,1.0
horse,50,ours,2,True,0.016234,0.00017153,1.0
horse,50,ours,3,True,0.01617,0.00016343,1.0
horse,50,ours,4,True,0.015771,0.00015878,1.0
horse,50,ours,5,True,0.015477,0.00015875,1.0
horse,50,ours,6,True,0.015237,0.00015666,1.0
horse,50,ours,7,True,0.01512,0.00015712,1.0
horse,50,ours,8,True,0.015428,0.00015535,1.0
horse,50,ours,9,True,0.015211,0.00015295,1.0
horse,50,ours,10,True,0.014798,0.00015174,1.0
horse,50,ours,11,True,0.015187,0.00015429,1.0
horse,50,ours,12,True,0.014982,0.00015184,1.0
horse,50,ours,13,True,0.015232,0.00015252,1.0
horse,50,ours,14,True,0.015104,0.00015242,1.0
horse,50,ours,15,True,0.015002,0.0001545,1.0
horse,50,rfta,,,0.01706,0.00038692,0.9999
horse,50,mes,,,0.020041,0.00032264,0.9996
horse,50,mc,,,0.030901,0.0009897,0.9989
