mesh,grid_len,degen_tol,n_cand_raw,n_cand,cand_dist_mean,cand_dist_median,cand_dist_max,cand_within_1e-08,cand_within_1e-07,cand_within_1e-06,cand_within_1e-05,hausdorff,chamfer,f1,faces,file
eiffel,20,0.0001,2580,2202,3.665080066063057e-08,1.1102230246251565e-16,9.587777917208218e-06,0.9946,0.995,0.995,1.0,0.040306,0.00489632,0.9052,17156,ours_20_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
eiffel,20,1e-05,2550,2181,3.093286332982973e-12,1.1102230246251565e-16,1.5873644620967337e-09,1.0,1.0,1.0,1.0,0.033913,0.00435994,0.9347,16832,ours_20_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
eiffel,20,1e-06,2558,2184,3.0890397632072655e-12,1.1102230246251565e-16,1.5873644620967337e-09,1.0,1.0,1.0,1.0,0.035387,0.00453516,0.9242,16792,ours_20_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
eiffel,20,1e-07,2563,2187,3.0847941228096057e-12,1.1102230246251565e-16,1.5873644620967337e-09,1.0,1.0,1.0,1.0,0.04026,0.0049072,0.9077,17064,ours_20_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
eiffel,20,1e-08,2491,2120,3.2297931380020254e-12,1.1103585416259206e-16,1.5873644620967337e-09,1.0,1.0,1.0,1.0,0.035854,0.00445377,0.9329,16748,ours_20_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
eiffel,50,0.0001,58194,50655,6.153762474469881e-06,2.42861286636753e-16,0.004019353023127157,0.9897,0.9923,0.9948,0.9963,0.01404,0.00098866,1.0,129672,ours_50_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
eiffel,50,1e-05,57537,50114,6.180676619404345e-06,2.3592239273284576e-16,0.004019353023127157,0.9928,0.994,0.995,0.9966,0.014061,0.00097052,1.0,129880,ours_50_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
eiffel,50,1e-06,58058,50055,6.19359960353719e-06,2.3898924643848303e-16,0.004019353023127157,0.9876,0.9887,0.9918,0.9967,0.014023,0.00096686,1.0,129440,ours_50_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
eiffel,50,1e-07,58388,50065,6.20284099763791e-06,2.3898924643848303e-16,0.004019353023127157,0.986,0.9872,0.9917,0.9965,0.014014,0.00097435,1.0,129580,ours_50_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
eiffel,50,1e-08,57390,48934,6.261439656239333e-06,2.498001805406602e-16,0.004019353023127157,0.9859,0.9875,0.992,0.997,0.014003,0.00097021,1.0,129728,ours_50_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
