experiment,param,mesh,grid_len,algo,hausdorff,chamfer,f1,faces,file
noise,noise0.0,32770,50,mc,0.037317,0.00180976,0.9883,7178,sample_points_50.obj
noise,noise0.0,32770,50,mes,0.019724,0.00188835,0.9983,173294,mes_50.obj
noise,noise0.0,32770,50,ours,0.016567,0.0004252,0.9999,120580,ours_50_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
noise,noise0.0,32770,50,rfta,0.024424,0.00108911,0.9976,187718,rfta_50.obj
noise,noise0.0,armadillo,50,mc,0.034606,0.00158309,0.9979,9950,sample_points_50.obj
noise,noise0.0,armadillo,50,mes,0.017588,0.00090879,0.9999,293672,mes_50.obj
noise,noise0.0,armadillo,50,ours,0.009878,0.00054091,1.0,164416,ours_50_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
noise,noise0.0,armadillo,50,rfta,0.017833,0.00101608,0.9999,250572,rfta_50.obj
noise,noise0.0,bunny,50,mc,0.016738,0.00093871,1.0,13020,sample_points_50.obj
noise,noise0.0,bunny,50,mes,0.013818,0.00032747,1.0,409478,mes_50.obj
noise,noise0.0,bunny,50,ours,0.007005,0.00017894,1.0,211708,ours_50_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
noise,noise0.0,bunny,50,rfta,0.011462,0.00038022,1.0,402792,rfta_50.obj
noise,noise0.0,chair,50,mc,0.01915,0.00096031,0.9996,9520,sample_points_50.obj
noise,noise0.0,chair,50,mes,0.016221,0.00118711,0.9992,227726,mes_50.obj
noise,noise0.0,chair,50,ours,0.010195,0.00024312,1.0,159432,ours_50_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
noise,noise0.0,chair,50,rfta,0.030413,0.00114435,0.9963,148496,rfta_50.obj
noise,noise0.0,denker,50,mc,0.046142,0.00132939,0.9918,16006,sample_points_50.obj
noise,noise0.0,denker,50,mes,0.027093,0.00078523,0.9988,349478,mes_50.obj
noise,noise0.0,denker,50,ours,0.013576,0.00031787,1.0,267912,ours_50_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
noise,noise0.0,denker,50,rfta,0.020445,0.00068469,0.9996,316356,rfta_50.obj
noise,noise0.0,eiffel,50,mc,0.025969,0.00229875,0.9805,6816,sample_points_50.obj
noise,noise0.0,eiffel,50,mes,0.015732,0.00206957,0.9977,133912,mes_50.obj
noise,noise0.0,eiffel,50,ours,0.01385,0.0009776,1.0,129504,ours_50_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
noise,noise0.0,eiffel,50,rfta,0.015246,0.00188073,0.9988,145228,rfta_50.obj
noise,noise0.0,fandisk,50,mc,0.017923,0.00060262,1.0,12440,sample_points_50.obj
noise,noise0.0,fandisk,50,mes,0.013585,0.00156478,1.0,260918,mes_50.obj
noise,noise0.0,fandisk,50,ours,0.009394,0.00010822,1.0,198116,ours_50_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
noise,noise0.0,fandisk,50,rfta,0.014673,0.00043004,1.0,305152,rfta_50.obj
noise,noise0.0,horse,50,mc,0.030901,0.0009897,0.9989,8276,sample_points_50.obj
noise,noise0.0,horse,50,mes,0.020041,0.00032264,0.9996,246734,mes_50.obj
noise,noise0.0,horse,50,ours,0.014561,0.00015097,1.0,133484,ours_50_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
noise,noise0.0,horse,50,rfta,0.01706,0.00038692,0.9999,179720,rfta_50.obj
noise,noise0.0,metratron,50,mc,0.015153,0.00176536,1.0,20372,sample_points_50.obj
noise,noise0.0,metratron,50,mes,0.010743,0.00112384,1.0,522732,mes_50.obj
noise,noise0.0,metratron,50,ours,0.006801,0.00028539,1.0,341876,ours_50_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
noise,noise0.0,metratron,50,rfta,0.016428,0.00088855,1.0,531106,rfta_50.obj
noise,noise0.0,rossignol,50,mc,0.022965,0.00135019,0.9995,7020,sample_points_50.obj
noise,noise0.0,rossignol,50,mes,0.013463,0.0006175,1.0,204480,mes_50.obj
noise,noise0.0,rossignol,50,ours,0.006766,0.00027947,1.0,113484,ours_50_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
noise,noise0.0,rossignol,50,rfta,0.016988,0.00060173,0.9999,176790,rfta_50.obj
noise,noise0.001,32770,50,mc,0.036561,0.00194653,0.9896,7194,sample_points_50.obj
noise,noise0.001,32770,50,mes,0.016876,0.00120364,0.9998,70462,mes_50.obj
noise,noise0.001,32770,50,ours,0.01395,0.00113166,1.0,119676,ours_50_10_shortArcs_noMES_PU_dc_noise0.001_reg0.obj
noise,noise0.001,32770,50,rfta,0.024296,0.001388,0.9967,147502,rfta_50_noise0.001.obj
noise,noise0.001,armadillo,50,mc,0.032587,0.0016792,0.998,9998,sample_points_50.obj
noise,noise0.001,armadillo,50,mes,0.015471,0.00122789,1.0,121188,mes_50.obj
noise,noise0.001,armadillo,50,ours,0.010888,0.00114091,1.0,161036,ours_50_10_shortArcs_noMES_PU_dc_noise0.001_reg0.obj
noise,noise0.001,armadillo,50,rfta,0.021848,0.00138331,0.9995,188400,rfta_50_noise0.001.obj
noise,noise0.001,bunny,50,mc,0.017871,0.00107654,1.0,13064,sample_points_50.obj
noise,noise0.001,bunny,50,mes,0.013764,0.00085263,1.0,160952,mes_50.obj
noise,noise0.001,bunny,50,ours,0.010552,0.00083225,1.0,210368,ours_50_10_shortArcs_noMES_PU_dc_noise0.001_reg0.obj
noise,noise0.001,bunny,50,rfta,0.016096,0.000796,1.0,308254,rfta_50_noise0.001.obj
noise,noise0.001,chair,50,mc,0.019228,0.00119477,0.9995,10064,sample_points_50.obj
noise,noise0.001,chair,50,mes,0.012076,0.00111307,1.0,77138,mes_50.obj
noise,noise0.001,chair,50,ours,0.009915,0.00116595,1.0,166628,ours_50_10_shortArcs_noMES_PU_dc_noise0.001_reg0.obj
noise,noise0.001,chair,50,rfta,0.040398,0.00246212,0.9545,128282,rfta_50_noise0.001.obj
noise,noise0.001,denker,50,mc,0.045411,0.00147803,0.9921,16288,sample_points_50.obj
noise,noise0.001,denker,50,mes,0.01801,0.00104172,0.9996,153888,mes_50.obj
noise,noise0.001,denker,50,ours,0.013853,0.0009849,1.0,266972,ours_50_10_shortArcs_noMES_PU_dc_noise0.001_reg0.obj
noise,noise0.001,denker,50,rfta,0.026956,0.00107159,0.9992,274414,rfta_50_noise0.001.obj
noise,noise0.001,eiffel,50,mc,0.026568,0.00240126,0.982,7058,sample_points_50.obj
noise,noise0.001,eiffel,50,mes,0.016014,0.00191758,0.9993,52426,mes_50.obj
noise,noise0.001,eiffel,50,ours,0.013924,0.00172168,0.9994,125020,ours_50_10_shortArcs_noMES_PU_dc_noise0.001_reg0.obj
noise,noise0.001,eiffel,50,rfta,0.040039,0.00204177,0.9924,160614,rfta_50_noise0.001.obj
noise,noise0.001,fandisk,50,mc,0.02029,0.00094281,1.0,13070,sample_points_50.obj
noise,noise0.001,fandisk,50,mes,0.012887,0.00074234,1.0,114370,mes_50.obj
noise,noise0.001,fandisk,50,ours,0.012738,0.00087422,1.0,203860,ours_50_10_shortArcs_noMES_PU_dc_noise0.001_reg0.obj
noise,noise0.001,fandisk,50,rfta,0.038365,0.00085669,0.9998,254492,rfta_50_noise0.001.obj
noise,noise0.001,horse,50,mc,0.026779,0.00111386,0.9994,8348,sample_points_50.obj
noise,noise0.001,horse,50,mes,0.015148,0.00100347,1.0,78508,mes_50.obj
noise,noise0.001,horse,50,ours,0.015878,0.000906,0.9999,131992,ours_50_10_shortArcs_noMES_PU_dc_noise0.001_reg0.obj
noise,noise0.001,horse,50,rfta,0.023859,0.00089571,0.9997,166484,rfta_50_noise0.001.obj
noise,noise0.001,metratron,50,mc,0.016704,0.00192467,1.0,20380,sample_points_50.obj
noise,noise0.001,metratron,50,mes,0.014335,0.00102281,1.0,251900,mes_50.obj
noise,noise0.001,metratron,50,ours,0.014055,0.00101266,1.0,334172,ours_50_10_shortArcs_noMES_PU_dc_noise0.001_reg0.obj
noise,noise0.001,metratron,50,rfta,0.022826,0.00100217,1.0,431080,rfta_50_noise0.001.obj
noise,noise0.001,rossignol,50,mc,0.023744,0.00145688,0.9995,7088,sample_points_50.obj
noise,noise0.001,rossignol,50,mes,0.012954,0.00097773,1.0,72784,mes_50.obj
noise,noise0.001,rossignol,50,ours,0.010924,0.00107222,1.0,111768,ours_50_10_shortArcs_noMES_PU_dc_noise0.001_reg0.obj
noise,noise0.001,rossignol,50,rfta,0.026029,0.00097554,0.9992,153656,rfta_50_noise0.001.obj
noise,noise0.005,32770,50,mc,0.02985,0.0030289,0.9901,8592,sample_points_50.obj
