experiment,param,mesh,grid_len,algo,hausdorff,chamfer,f1,faces,file
scattered,grid,32770,50,mc,0.037317,0.00180976,0.9883,7178,sample_points_50.obj
scattered,grid,32770,50,mes,0.019724,0.00188835,0.9983,173294,mes_50.obj
scattered,grid,32770,50,ours,0.015598,0.00042091,0.9999,120608,ours_50_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
scattered,grid,32770,50,rfta,0.024424,0.00108911,0.9976,187718,rfta_50.obj
scattered,grid,armadillo,50,mc,0.034606,0.00158309,0.9979,9950,sample_points_50.obj
scattered,grid,armadillo,50,mes,0.017588,0.00090879,0.9999,293672,mes_50.obj
scattered,grid,armadillo,50,ours,0.009705,0.00054369,1.0,164360,ours_50_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
scattered,grid,armadillo,50,rfta,0.017833,0.00101608,0.9999,250572,rfta_50.obj
scattered,grid,bunny,50,mc,0.016738,0.00093871,1.0,13020,sample_points_50.obj
scattered,grid,bunny,50,mes,0.013818,0.00032747,1.0,409478,mes_50.obj
scattered,grid,bunny,50,ours,0.007136,0.00018038,1.0,211728,ours_50_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
scattered,grid,bunny,50,rfta,0.011462,0.00038022,1.0,402792,rfta_50.obj
scattered,grid,chair,50,mc,0.01915,0.00096031,0.9996,9520,sample_points_50.obj
scattered,grid,chair,50,mes,0.016221,0.00118711,0.9992,227726,mes_50.obj
scattered,grid,chair,50,ours,0.007702,0.00024396,1.0,159552,ours_50_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
scattered,grid,chair,50,rfta,0.030413,0.00114435,0.9963,148496,rfta_50.obj
scattered,grid,denker,50,mc,0.046142,0.00132939,0.9918,16006,sample_points_50.obj
scattered,grid,denker,50,mes,0.027093,0.00078523,0.9988,349478,mes_50.obj
scattered,grid,denker,50,ours,0.013467,0.00032051,1.0,267828,ours_50_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
scattered,grid,denker,50,rfta,0.020445,0.00068469,0.9996,316356,rfta_50.obj
scattered,grid,eiffel,50,mc,0.025969,0.00229875,0.9805,6816,sample_points_50.obj
scattered,grid,eiffel,50,mes,0.015732,0.00206957,0.9977,133912,mes_50.obj
scattered,grid,eiffel,50,ours,0.013979,0.00096443,1.0,129512,ours_50_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
scattered,grid,eiffel,50,rfta,0.015246,0.00188073,0.9988,145228,rfta_50.obj
scattered,grid,fandisk,50,mc,0.017923,0.00060262,1.0,12440,sample_points_50.obj
scattered,grid,fandisk,50,mes,0.013585,0.00156478,1.0,260918,mes_50.obj
scattered,grid,fandisk,50,ours,0.006932,0.00010627,1.0,197800,ours_50_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
scattered,grid,fandisk,50,rfta,0.014673,0.00043004,1.0,305152,rfta_50.obj
scattered,grid,horse,50,mc,0.030901,0.0009897,0.9989,8276,sample_points_50.obj
scattered,grid,horse,50,mes,0.020041,0.00032264,0.9996,246734,mes_50.obj
scattered,grid,horse,50,ours,0.014907,0.00015266,1.0,133448,ours_50_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
scattered,grid,horse,50,rfta,0.01706,0.00038692,0.9999,179720,rfta_50.obj
scattered,grid,metratron,50,mc,0.015153,0.00176536,1.0,20372,sample_points_50.obj
scattered,grid,metratron,50,mes,0.010743,0.00112384,1.0,522732,mes_50.obj
scattered,grid,metratron,50,ours,0.006773,0.00028562,1.0,342020,ours_50_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
scattered,grid,metratron,50,rfta,0.016428,0.00088855,1.0,531106,rfta_50.obj
scattered,grid,rossignol,50,mc,0.022965,0.00135019,0.9995,7020,sample_points_50.obj
scattered,grid,rossignol,50,mes,0.013463,0.0006175,1.0,204480,mes_50.obj
scattered,grid,rossignol,50,ours,0.006868,0.00027797,1.0,113448,ours_50_10_shortArcs_noMES_PU_clamp_dc_bfgs.obj
scattered,grid,rossignol,50,rfta,0.016988,0.00060173,0.9999,176790,rfta_50.obj
scattered,scattered,32770,50,mes,0.021386,0.00112196,0.9986,208152,mes_50.obj
scattered,scattered,32770,50,ours,0.008661,0.00028276,1.0,121552,ours_50_10_shortArcs_noMES_PU_dc_scatter.obj
scattered,scattered,32770,50,rfta,0.02131,0.00116283,0.9991,108682,rfta_50.obj
scattered,scattered,armadillo,50,mes,0.017413,0.0008864,0.9998,303618,mes_50.obj
scattered,scattered,armadillo,50,ours,0.012798,0.0005615,1.0,164180,ours_50_10_shortArcs_noMES_PU_dc_scatter.obj
scattered,scattered,armadillo,50,rfta,0.020773,0.00106078,0.9996,271846,rfta_50.obj
scattered,scattered,bunny,50,mes,0.014202,0.0003076,1.0,426164,mes_50.obj
scattered,scattered,bunny,50,ours,0.00756,0.00016566,1.0,211568,ours_50_10_shortArcs_noMES_PU_dc_scatter.obj
scattered,scattered,bunny,50,rfta,0.014233,0.00038452,1.0,406784,rfta_50.obj
scattered,scattered,chair,50,mes,0.02553,0.00093856,0.9969,253346,mes_50.obj
scattered,scattered,chair,50,ours,0.009008,0.00018886,1.0,158416,ours_50_10_shortArcs_noMES_PU_dc_scatter.obj
scattered,scattered,chair,50,rfta,0.033839,0.00112393,0.9917,166248,rfta_50.obj
scattered,scattered,denker,50,mes,0.024494,0.00065095,0.999,375218,mes_50.obj
scattered,scattered,denker,50,ours,0.013433,0.00029775,1.0,267248,ours_50_10_shortArcs_noMES_PU_dc_scatter.obj
scattered,scattered,denker,50,rfta,0.018752,0.00067912,0.9998,321692,rfta_50.obj
scattered,scattered,eiffel,50,mes,0.019232,0.00196952,0.9991,163124,mes_50.obj
scattered,scattered,eiffel,50,ours,0.010582,0.00093889,1.0,128104,ours_50_10_shortArcs_noMES_PU_dc_scatter.obj
scattered,scattered,eiffel,50,rfta,0.024883,0.00198227,0.9953,137802,rfta_50.obj
scattered,scattered,fandisk,50,mes,0.019249,0.00037458,0.9999,346906,mes_50.obj
scattered,scattered,fandisk,50,ours,0.009806,6.489e-05,1.0,197000,ours_50_10_shortArcs_noMES_PU_dc_scatter.obj
scattered,scattered,fandisk,50,rfta,0.017647,0.0004073,1.0,322130,rfta_50.obj
scattered,scattered,horse,50,mes,0.026397,0.00031478,0.9992,250688,mes_50.obj
scattered,scattered,horse,50,ours,0.014232,0.00013573,1.0,133444,ours_50_10_shortArcs_noMES_PU_dc_scatter.obj
scattered,scattered,horse,50,rfta,0.017073,0.0003751,0.9999,152360,rfta_50.obj
scattered,scattered,metratron,50,mes,0.011795,0.00120154,1.0,529050,mes_50.obj
scattered,scattered,metratron,50,ours,0.010334,0.00034642,1.0,341688,ours_50_10_shortArcs_noMES_PU_dc_scatter.obj
scattered,scattered,metratron,50,rfta,0.023261,0.00102189,1.0,538662,rfta_50.obj
scattered,scattered,rossignol,50,mes,0.012673,0.00060616,1.0,208554,mes_50.obj
scattered,scattered,rossignol,50,ours,0.00584,0.000285,1.0,113360,ours_50_10_shortArcs_noMES_PU_dc_scatter.obj
scattered,scattered,rossignol,50,rfta,0.018438,0.00063214,0.9998,137910,rfta_50.obj
