param,grid_len,algo,n_meshes,chamfer_mean,chamfer_std,chamfer_median,hausdorff_mean,hausdorff_std,hausdorff_median,f1_mean,f1_std,f1_median
bound0.002,50,mc,1,0.00278907,0.0,0.00278907,0.020077,0.0,0.020077,0.9993,0.0,0.9993
bound0.002,50,mes,1,0.3215322,0.0,0.3215322,2.093007,0.0,2.093007,0.1199,0.0,0.1199
bound0.002,50,ours,1,0.00266686,0.0,0.00266686,0.053644,0.0,0.053644,0.9759,0.0,0.9759
bound0.002,50,rfta,1,0.03041025,0.0,0.03041025,0.266889,0.0,0.266889,0.5304,0.0,0.5304
clamped0.002,50,mc,1,0.00278907,0.0,0.00278907,0.020077,0.0,0.020077,0.9993,0.0,0.9993
clamped0.002,50,mes,1,0.00489145,0.0,0.00489145,0.04489,0.0,0.04489,0.9543,0.0,0.9543
clamped0.002,50,ours,1,0.12381421,0.0,0.12381421,0.814136,0.0,0.814136,0.0608,0.0,0.0608
clamped0.002,50,rfta,1,0.13459697,0.0,0.13459697,0.813255,0.0,0.813255,0.0599,0.0,0.0599
bound0.005,50,mc,1,0.0021693,0.0,0.0021693,0.022965,0.0,0.022965,0.9994,0.0,0.9994
bound0.005,50,mes,1,0.0574475,0.0,0.0574475,0.364904,0.0,0.364904,0.3478,0.0,0.3478
bound0.005,50,ours,1,0.00093246,0.0,0.00093246,0.024949,0.0,0.024949,0.9991,0.0,0.9991
bound0.005,50,rfta,1,0.01667375,0.0,0.01667375,0.13817,0.0,0.13817,0.6143,0.0,0.6143
clamped0.005,50,mc,1,0.0021693,0.0,0.0021693,0.022965,0.0,0.022965,0.9994,0.0,0.9994
clamped0.005,50,mes,1,0.00441468,0.0,0.00441468,0.042279,0.0,0.042279,0.974,0.0,0.974
clamped0.005,50,ours,1,0.12295155,0.0,0.12295155,0.814699,0.0,0.814699,0.0703,0.0,0.0703
clamped0.005,50,rfta,1,0.15636531,0.0,0.15636531,1.044029,0.0,1.044029,0.0537,0.0,0.0537
bound0.05,50,mc,1,0.00135019,0.0,0.00135019,0.022965,0.0,0.022965,0.9995,0.0,0.9995
bound0.05,50,mes,1,0.03843532,0.0,0.03843532,0.207988,0.0,0.207988,0.4372,0.0,0.4372
bound0.05,50,ours,1,0.00031121,0.0,0.00031121,0.006803,0.0,0.006803,1.0,0.0,1.0
bound0.05,50,rfta,1,0.06951876,0.0,0.06951876,0.406038,0.0,0.406038,0.4005,0.0,0.4005
clamped0.05,50,mc,1,0.00135019,0.0,0.00135019,0.022965,0.0,0.022965,0.9995,0.0,0.9995
clamped0.05,50,mes,1,0.00053757,0.0,0.00053757,0.013152,0.0,0.013152,1.0,0.0,1.0
clamped0.05,50,ours,1,0.00032496,0.0,0.00032496,0.006795,0.0,0.006795,1.0,0.0,1.0
clamped0.05,50,rfta,1,0.08125963,0.0,0.08125963,0.789355,0.0,0.789355,0.4415,0.0,0.4415
bound0.1,50,mc,1,0.00135019,0.0,0.00135019,0.022965,0.0,0.022965,0.9995,0.0,0.9995
bound0.1,50,mes,1,0.10706457,0.0,0.10706457,0.510444,0.0,0.510444,0.2923,0.0,0.2923
bound0.1,50,ours,1,0.0002889,0.0,0.0002889,0.006905,0.0,0.006905,1.0,0.0,1.0
bound0.1,50,rfta,1,0.11446243,0.0,0.11446243,0.490995,0.0,0.490995,0.3027,0.0,0.3027
clamped0.1,50,mc,1,0.00135019,0.0,0.00135019,0.022965,0.0,0.022965,0.9995,0.0,0.9995
clamped0.1,50,mes,1,0.00071056,0.0,0.00071056,0.014277,0.0,0.014277,1.0,0.0,1.0
clamped0.1,50,ours,1,0.000288,0.0,0.000288,0.006688,0.0,0.006688,1.0,0.0,1.0
clamped0.1,50,rfta,1,0.00273869,0.0,0.00273869,0.039038,0.0,0.039038,0.937,0.0,0.937
bound1.0,50,mc,1,0.00135019,0.0,0.00135019,0.022965,0.0,0.022965,0.9995,0.0,0.9995
bound1.0,50,mes,1,0.0006175,0.0,0.0006175,0.013463,0.0,0.013463,1.0,0.0,1.0
bound1.0,50,ours,1,0.00027977,0.0,0.00027977,0.006847,0.0,0.006847,1.0,0.0,1.0
bound1.0,50,rfta,1,0.00060173,0.0,0.00060173,0.016988,0.0,0.016988,0.9999,0.0,0.9999
